"Timestamp","Age","Gender","Country","state","self_employed","family_history","treatment","work_interfere","no_employees","remote_work","tech_company","benefits","care_options","wellness_program","seek_help","anonymity","leave","mental_health_consequence","phys_health_consequence","coworkers","supervisor","mental_health_interview","phys_health_interview","mental_vs_physical","obs_consequence","comments"
2014-08-27 15:32:19,26,"M","Uruguay",NA,"No","No","No",NA,"26-100","Yes","Yes","Don't know","No","Don't know","No","Don't know","Don't know","No","No","Some of them","No","No","Yes","Don't know","No",NA
2014-08-27 15:32:43,28,"Male","New Zealand",NA,"No","Yes","Yes","Sometimes","6-25","Yes","Yes","Yes","Yes","Yes","No","Don't know","Very easy","No","No","Yes","Yes","Yes","Yes","Yes","No",NA
2014-08-27 15:34:23,32,"Male","United Kingdom",NA,"No","Yes","Yes","Sometimes","6-25","No","Yes","No","No","No","Don't know","Don't know","Somewhat easy","No","No","Some of them","Yes","No","No","Don't know","No",NA
2014-08-27 15:34:31,28,"Female","United States","NY","No","No","Yes","Rarely","More than 1000","No","No","Yes","Yes","No","Don't know","Don't know","Don't know","Maybe","No","No","No","No","No","Don't know","No",NA
2014-08-27 15:34:32,21,"M","United States","CA","No","No","No","Sometimes","6-25","No","No","Don't know","Not sure","No","Yes","Yes","Don't know","No","No","Some of them","Some of them","Maybe","Maybe","Yes","No",NA
2014-08-27 15:35:21,24,"Male","United States","TX","No","Yes","Yes","Sometimes","100-500","No","Yes","No","Yes","No","No","Don't know","Somewhat difficult","Yes","No","Some of them","Some of them","No","Maybe","No","Yes",NA
2014-08-27 15:35:37,26,"Female","United States","MD","No","No","No",NA,"More than 1000","No","No","Yes","Not sure","Yes","Don't know","Don't know","Don't know","Maybe","No","Some of them","No","No","No","Don't know","No",NA
2014-08-27 15:35:50,23,"Male","United States","IN","No","No","No",NA,"More than 1000","No","No","Yes","No","No","No","Don't know","Don't know","No","No","Yes","No","No","Yes","Don't know","No",NA
2014-08-27 15:36:13,24,"Female","United States","OR","No","No","No",NA,"More than 1000","No","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat easy","No","No","Some of them","Some of them","Yes","Yes","Yes","No",NA
2014-08-27 15:36:41,28,"Male","Canada",NA,"Yes","No","No","Never","100-500","Yes","Yes","Don't know","No","No","No","Don't know","Somewhat easy","Maybe","No","Some of them","Yes","No","No","Yes","No",NA
2014-08-27 15:38:07,24,"F","United States","NY","No","Yes","Yes","Rarely","6-25","No","Yes","No","No","No","No","Don't know","Very easy","Yes","No","No","Some of them","No","Yes","Yes","No",NA
2014-08-27 15:38:27,33,"male","United States","MS","Yes","No","Yes","Often","1-5","Yes","Yes","No","No","No","No","Yes","Somewhat easy","Yes","Maybe","Some of them","Some of them","Yes","Yes","Don't know","No",NA
2014-08-27 15:38:31,34,"male","United States","NJ","No","No","No","Sometimes","26-100","No","Yes","Don't know","No","No","No","Don't know","Don't know","Maybe","No","Yes","Yes","No","Maybe","Don't know","No",NA
2014-08-27 15:38:32,27,"female","United States","CA","No","No","Yes","Sometimes","26-100","No","Yes","Don't know","Not sure","No","No","Don't know","Somewhat difficult","Maybe","Maybe","Some of them","Some of them","No","No","Don't know","No","I talked to a psychiatrist once about taking medical leave for mental health issues with his referral. He was willing to help but warned me that I may not want to as he's seen that sort of thing follow people throughout their tech careers (word gets out even if it's confidential at work). I've been terrified of bringing mental health up anywhere that coworkers or potential employers could see ever since."
2014-08-27 15:38:37,28,"Male","United States","TN","No","No","No","Never","6-25","No","Yes","Don't know","No","No","Don't know","Don't know","Don't know","No","No","Some of them","Yes","No","No","Don't know","No",NA
2014-08-27 15:39:31,26,"Male","United States","WA","No","No","No",NA,"More than 1000","No","Yes","Don't know","Not sure","Don't know","Don't know","Don't know","Don't know","No","No","Some of them","Yes","No","No","Don't know","Yes",NA
2014-08-27 15:40:03,20,"Male","Australia",NA,"No","No","No",NA,"100-500","Yes","Yes","Don't know","Not sure","Don't know","Don't know","Yes","Very easy","No","No","Some of them","Yes","No","No","Don't know","No",NA
2014-08-27 15:43:17,23,"female","United States","MA","No","No","Yes","Sometimes","26-100","No","Yes","Yes","Yes","No","Don't know","Don't know","Don't know","Maybe","No","Some of them","No","No","Maybe","Don't know","No",NA
2014-08-27 15:43:27,29,"Male","United States","PA","No","Yes","Yes","Rarely","1-5","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat easy","No","No","Yes","Yes","Maybe","Maybe","Yes","No",NA
2014-08-27 15:43:30,26,"Male","United Kingdom",NA,"No","Yes","No","Sometimes","6-25","No","Yes","No","No","No","No","Don't know","Don't know","Maybe","Maybe","No","No","No","Maybe","No","No",NA
2014-08-27 15:43:45,36,"Male","United States","KY","No","No","No","Rarely","More than 1000","Yes","Yes","Yes","No","Yes","Don't know","Don't know","Somewhat easy","Maybe","No","No","No","No","No","Don't know","No",NA
2014-08-27 15:44:16,41,"m","United States","PA","No","No","Yes","Sometimes","More than 1000","No","Yes","Yes","Yes","Yes","Yes","Yes","Don't know","Maybe","No","Some of them","Yes","Maybe","Yes","Yes","Yes",NA
2014-08-27 15:44:20,33,"female","United States","MA","No","No","No",NA,"100-500","Yes","Yes","Yes","No","Don't know","No","Don't know","Don't know","No","No","Some of them","Yes","No","No","Yes","No",NA
2014-08-27 15:46:12,23,"M","Canada",NA,"No","Yes","Yes","Sometimes","6-25","No","Yes","Yes","Yes","No","No","Yes","Very easy","No","No","Yes","Yes","No","No","Yes","No",NA
2014-08-27 15:46:39,39,"Male","United States","CA","No","Yes","No","Often","More than 1000","No","Yes","Yes","No","No","Don't know","Don't know","Don't know","Yes","No","Some of them","Some of them","No","Maybe","No","Yes",NA
2014-08-27 15:47:26,34,"M","United States","VT","No","Yes","No",NA,"More than 1000","No","Yes","Yes","Not sure","Don't know","Don't know","Don't know","Don't know","Maybe","No","Some of them","Some of them","No","Maybe","Don't know","Yes",NA
2014-08-27 15:47:33,26,"F","United States","CA","No","No","Yes","Sometimes","100-500","No","Yes","Yes","Yes","No","No","Don't know","Somewhat difficult","Yes","Maybe","Some of them","Some of them","No","No","No","Yes",NA
2014-08-27 15:50:26,24,"Male","United States","AZ","No","No","Yes","Rarely","26-100","No","Yes","Yes","Yes","Yes","No","Don't know","Don't know","No","No","Some of them","Yes","No","No","Don't know","No",NA
2014-08-27 15:51:36,37,"Male","Canada",NA,"No","Yes","Yes","Rarely","More than 1000","No","No","Yes","Yes","Yes","Yes","Don't know","Don't know","Maybe","Maybe","Some of them","Some of them","No","No","Don't know","No",NA
2014-08-27 15:53:39,43,"Male","United States","MA","Yes","Yes","Yes","Often","6-25","Yes","Yes","Yes","Yes","No","No","Yes","Very easy","No","No","Yes","Yes","Maybe","Maybe","Yes","No","So much depends upon the organization. "
2014-08-27 15:53:59,40,"Genderqueer","United States","VA","No","Yes","No","Never","More than 1000","No","Yes","Yes","Yes","Yes","Don't know","Yes","Don't know","Yes","Maybe","No","Some of them","No","Maybe","Yes","No",NA
2014-08-27 15:54:45,30,"male","United States","WA","No","Yes","Yes","Often","More than 1000","No","Yes","Yes","Yes","Yes","No","Don't know","Very difficult","Yes","No","Some of them","No","No","No","No","Yes",NA
2014-08-27 15:55:07,34,"M","United States","CA","No","No","Yes","Sometimes","6-25","No","Yes","Don't know","Not sure","No","No","Don't know","Don't know","Yes","Yes","Some of them","No","No","No","Don't know","No","Now at starutp.  Previously worked at big tech company which was actually quite good at supporting mental health issues.  Still wouldn't share with bosses/other employees though as there remains a strong negative stigma."
2014-08-27 15:55:07,27,"Male","United States","OR","No","Yes","Yes","Sometimes","100-500","No","Yes","Don't know","Not sure","No","Don't know","Don't know","Don't know","Yes","No","No","No","No","Yes","Don't know","No",NA
2014-08-27 15:55:08,36,"Male","United States","MI","No","No","No","Sometimes","More than 1000","No","Yes","Don't know","No","No","No","Yes","Somewhat easy","No","No","Yes","Yes","Maybe","Yes","Don't know","No",NA
2014-08-27 15:56:37,27,"Male","Brazil",NA,"No","No","No","Rarely","6-25","No","Yes","No","Yes","No","No","Don't know","Somewhat easy","Maybe","No","Some of them","Some of them","No","Maybe","No","No",NA
2014-08-27 15:58:23,35,"Male","Netherlands",NA,"No","Yes","No","Never","100-500","No","Yes","Yes","No","No","No","Yes","Don't know","Yes","No","No","No","No","Maybe","Don't know","No","Nice job on the text field for gender :-)"
2014-08-27 15:59:41,32,"Male","United Kingdom",NA,"No","No","No","Never","6-25","No","Yes","No","No","No","No","Don't know","Don't know","Maybe","No","Some of them","No","No","Yes","Yes","No",NA
2014-08-27 15:59:47,37,"M","United States","OR","No","No","No",NA,"500-1000","No","Yes","Yes","No","No","No","Don't know","Don't know","Maybe","Maybe","Some of them","Some of them","No","No","Don't know","No",NA
2014-08-27 16:00:16,29,"Male","United Kingdom",NA,"No","No","No",NA,"26-100","No","Yes","Don't know","No","Don't know","Don't know","Don't know","Don't know","No","No","Some of them","Yes","Maybe","Maybe","Yes","No",NA
2014-08-27 16:01:39,33,"Female ","United States","CA","No","No","No","Never","500-1000","No","Yes","Yes","Not sure","Yes","Yes","Don't know","Very easy","Maybe","No","Some of them","Yes","No","No","Yes","No","I currently have the best managers I've ever worked with. I don't have any issues but one of my coworkers recently did and it was handled extremely well. "
2014-08-27 16:01:52,28,"Make","United States","UT","No","No","No","Sometimes","6-25","Yes","Yes","No","Yes","No","No","Don't know","Somewhat easy","Yes","Maybe","Some of them","No","No","No","Don't know","No",NA
2014-08-27 16:02:16,26,"Female","United States","CA","No","Yes","No","Never","26-100","No","Yes","Don't know","Not sure","No","No","Don't know","Somewhat difficult","Maybe","Maybe","Some of them","No","No","Maybe","No","No",NA
2014-08-27 16:03:20,27,"M","United States","TX","No","Yes","Yes","Sometimes","6-25","Yes","Yes","Don't know","No","Yes","Don't know","Don't know","Somewhat easy","Yes","No","Some of them","Yes","No","Maybe","Yes","No",NA
2014-08-27 16:04:01,38,"Male","United Kingdom",NA,"Yes","No","Yes","Sometimes","26-100","Yes","Yes","No","No","No","No","Yes","Somewhat easy","Maybe","Maybe","Some of them","Yes","No","Maybe","Yes","No",NA
2014-08-27 16:06:46,57,"M","United States","CA","No","Yes","Yes","Rarely","More than 1000","No","Yes","Yes","Yes","No","No","Don't know","Don't know","Maybe","No","Some of them","Yes","No","Maybe","No","No",NA
2014-08-27 16:07:32,28,"Male","United Kingdom",NA,"No","No","Yes","Sometimes","More than 1000","No","Yes","No","No","No","No","No","Very difficult","Yes","Maybe","No","Some of them","No","Maybe","No","No",NA
2014-08-27 16:10:10,26,"male","France",NA,"No","No","No","Never","6-25","No","Yes","No","Yes","No","No","Don't know","Don't know","Maybe","No","Yes","Yes","Maybe","Maybe","No","No",NA
2014-08-27 16:11:36,42,"f","Netherlands",NA,"No","No","Yes","Rarely","100-500","Yes","Yes","Yes","Yes","No","No","Yes","Don't know","Yes","No","Some of them","No","No","Maybe","Don't know","No",NA
2014-08-27 16:13:31,31,"Male","United States","OR","No","No","Yes","Sometimes","100-500","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Very easy","No","No","Some of them","Yes","No","No","Yes","No",NA
2014-08-27 16:13:40,58,"Male","United States","CA","No","No","Yes","Rarely","More than 1000","No","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat easy","Maybe","No","Some of them","Yes","No","Yes","Yes","No",NA
2014-08-27 16:13:42,29,"Male","United States","OH","No","No","No","Sometimes","6-25","No","Yes","Don't know","No","No","No","Don't know","Very difficult","Yes","No","No","No","No","Maybe","No","No",NA
2014-08-27 16:14:04,39,"Female","United Kingdom",NA,"No","No","Yes","Sometimes","More than 1000","No","Yes","Yes","Yes","No","Yes","Don't know","Don't know","Yes","No","Some of them","Some of them","No","Maybe","No","Yes",NA
2014-08-27 16:14:43,34,"Male","United States","OH","No","No","No","Sometimes","6-25","Yes","Yes","Don't know","No","No","No","Don't know","Very difficult","Maybe","No","Some of them","Yes","No","Maybe","Don't know","No",NA
2014-08-27 16:15:26,57,"Male","United States","CA","No","No","Yes","Sometimes","More than 1000","No","Yes","Yes","Not sure","Yes","Yes","Don't know","Don't know","Maybe","Maybe","No","No","No","Maybe","Don't know","No",NA
2014-08-27 16:15:33,27,"Male","Germany",NA,"No","Yes","Yes","Sometimes","6-25","No","Yes","No","Not sure","No","No","Don't know","Somewhat difficult","Yes","Maybe","Some of them","No","No","No","No","Yes",NA
2014-08-27 16:16:40,23,"male","Germany",NA,"Yes","Yes","Yes","Often","26-100","Yes","Yes","Don't know","No","Don't know","Don't know","Don't know","Don't know","No","Maybe","Yes","Yes","Maybe","Yes","Don't know","No","you rock for doing this!"
2014-08-27 16:16:51,18,"male","Finland",NA,"No","No","No",NA,"500-1000","Yes","No","Don't know","No","No","Don't know","Don't know","Very easy","Yes","No","No","No","No","Maybe","Don't know","No",NA
2014-08-27 16:17:05,30,"female","United States","NY","No","No","No",NA,"100-500","No","Yes","Don't know","Not sure","No","No","Don't know","Don't know","Maybe","No","Some of them","Yes","No","Maybe","Don't know","No",NA
2014-08-27 16:17:41,23,"Male","United States","VA","No","No","No","Never","26-100","No","No","Don't know","Not sure","Don't know","Don't know","Don't know","Don't know","No","No","Yes","Yes","Maybe","Yes","Yes","No",NA
2014-08-27 16:18:44,43,"M","United States","CA","No","No","Yes","Sometimes","More than 1000","No","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat easy","Yes","Maybe","No","No","No","Yes","Don't know","No",NA
2014-08-27 16:19:05,18,"Female","United Kingdom",NA,"No","Yes","Yes","Sometimes","1-5","Yes","Yes","Don't know","Not sure","Don't know","Don't know","Don't know","Don't know","Maybe","Maybe","Some of them","Some of them","Maybe","Maybe","Don't know","No","I don't have a job :D"
2014-08-27 16:19:25,29,"male","United States","IL","No","No","Yes","Rarely","6-25","No","Yes","Yes","Yes","No","No","Don't know","Don't know","Maybe","No","Some of them","No","No","Maybe","Don't know","No",NA
2014-08-27 16:20:36,48,"M","United States","TX","No","No","No","Never","6-25","No","Yes","Don't know","No","No","Don't know","Don't know","Don't know","Maybe","No","No","No","No","Maybe","Don't know","No",NA
2014-08-27 16:20:40,43,"male","Germany",NA,"No","No","Yes","Sometimes","26-100","No","No","No","Yes","Don't know","No","Don't know","Somewhat easy","Maybe","No","Some of them","Some of them","No","Yes","No","Yes",NA
2014-08-27 16:21:11,28,"Female","United States","NY","No","Yes","Yes","Sometimes","26-100","No","Yes","Don't know","Not sure","No","No","Don't know","Don't know","Yes","Maybe","Some of them","No","No","Maybe","Don't know","No",NA
2014-08-27 16:21:24,30,"Male","United States","CA","Yes","Yes","Yes","Often","1-5","Yes","Yes","No","Yes","No","No","Yes","Very easy","No","No","Yes","Yes","No","No","Yes","No",NA
2014-08-27 16:21:54,26,"Male","Israel","MD","No","No","No","Sometimes","6-25","No","Yes","No","No","No","No","Yes","Very easy","Maybe","No","Some of them","Yes","No","Maybe","Yes","No","Israel has public health insurance for everyone. Everyone has free mental health coverage and it's quite good. So that explains some of my answers."
2014-08-27 16:21:55,33,"Male","Italy",NA,"No","No","No","Never","6-25","No","No","No","No","No","No","Don't know","Don't know","Maybe","Maybe","Some of them","Some of them","No","No","No","No",NA
2014-08-27 16:22:10,31,"Male","United States","CA","No","No","No",NA,"More than 1000","No","Yes","Yes","Not sure","Don't know","Don't know","Yes","Don't know","No","No","No","Some of them","No","No","Yes","No",NA
2014-08-27 16:22:17,30,"M","United States","PA","No","No","No","Rarely","100-500","No","No","Don't know","Not sure","No","No","Don't know","Don't know","No","No","Some of them","Some of them","No","No","Don't know","No",NA
2014-08-27 16:23:14,27,"Male","Israel",NA,"No","No","No",NA,"26-100","No","Yes","No","No","No","No","Don't know","Somewhat difficult","Yes","No","Some of them","No","No","Maybe","No","Yes",NA
2014-08-27 16:25:26,24,"Female","United States","CA","Yes","Yes","Yes","Sometimes","1-5","Yes","Yes","No","No","Don't know","Don't know","Don't know","Don't know","No","No","Some of them","Some of them","No","No","Don't know","Yes",NA
2014-08-27 16:26:03,25,"male","United States","WA","No","No","No",NA,"26-100","No","Yes","Don't know","Not sure","Don't know","Don't know","Don't know","Don't know","Maybe","No","Some of them","No","No","No","Don't know","No",NA
2014-08-27 16:27:04,23,"Female","United States","NY","No","Yes","Yes","Often","More than 1000","No","Yes","Yes","Not sure","Don't know","No","Don't know","Don't know","Maybe","No","Some of them","Some of them","No","No","Yes","Yes",NA
2014-08-27 16:27:47,36,"m","United States","TX","No","No","Yes","Sometimes","More than 1000","No","No","Yes","Not sure","No","No","Don't know","Somewhat difficult","Yes","Maybe","Some of them","No","No","No","No","Yes","Stigma is the worst. People first language is a small step but we can't get that right."
2014-08-27 16:28:10,25,"female","United States","CA","Yes","Yes","Yes","Often","1-5","Yes","Yes","Don't know","Not sure","No","No","Yes","Somewhat difficult","Yes","No","Some of them","No","No","Maybe","No","Yes",NA
2014-08-27 16:28:20,54,"Male","United Kingdom",NA,"No","No","Yes","Sometimes","More than 1000","Yes","No","No","Yes","Yes","Yes","Yes","Very easy","No","No","Yes","Yes","Maybe","Maybe","No","No",NA
2014-08-27 16:29:05,34,"Male","Netherlands",NA,"No","No","No","Rarely","6-25","No","Yes","Don't know","Not sure","Don't know","Don't know","Don't know","Somewhat easy","No","No","Some of them","Some of them","No","Maybe","Yes","No","-"
2014-08-27 16:29:23,38,"female","United States","AZ","No","No","Yes",NA,"26-100","No","Yes","Yes","Yes","No","No","Yes","Don't know","Maybe","Maybe","No","No","No","No","No","No",NA
2014-08-27 16:31:16,40,"Male","Ireland",NA,"Yes","Yes","No",NA,"More than 1000","No","Yes","No","No","No","No","No","Don't know","Yes","Maybe","Some of them","No","No","Maybe","No","Yes",NA
2014-08-27 16:32:31,32,"male","United Kingdom",NA,"No","No","No",NA,"26-100","No","Yes","No","Not sure","No","Don't know","Don't know","Don't know","No","No","No","Some of them","No","Maybe","Don't know","No",NA
2014-08-27 16:34:18,25,"Male","Germany",NA,"No","No","No","Never","More than 1000","No","No","Don't know","Not sure","Don't know","Yes","Don't know","Don't know","No","No","Yes","Yes","No","Yes","Don't know","No",NA
2014-08-27 16:35:02,35,"Female","United States","OH","No","No","Yes","Sometimes","100-500","No","Yes","No","Yes","No","No","Don't know","Don't know","Yes","Maybe","No","No","No","Maybe","No","No",NA
2014-08-27 16:36:57,46,"male","United States","CA","No","No","Yes","Sometimes","More than 1000","No","Yes","Yes","Yes","Yes","Yes","Don't know","Don't know","Maybe","No","Some of them","No","No","No","Yes","No",NA
2014-08-27 16:39:00,42,"male","United States","KS","No","No","No","Never","100-500","No","No","Yes","No","Yes","No","Don't know","Very difficult","Maybe","No","Yes","Yes","Maybe","Yes","No","No",NA
2014-08-27 16:39:01,32,"male","United Kingdom",NA,"No","Yes","Yes","Sometimes","6-25","Yes","Yes","Yes","No","No","No","Don't know","Don't know","No","No","Yes","Yes","Maybe","Maybe","Yes","No",NA
2014-08-27 16:40:35,47,"M","United States","CA","No","Yes","Yes","Sometimes","More than 1000","No","Yes","Yes","Yes","Yes","Yes","Don't know","Very easy","No","No","Some of them","Yes","No","Yes","Yes","No",NA
2014-08-27 16:42:00,22,"Male","United States","CA","No","No","No",NA,"More than 1000","No","Yes","Yes","Not sure","Yes","Don't know","Yes","Don't know","No","No","Some of them","Yes","No","Maybe","Yes","No",NA
2014-08-27 16:42:55,33,"Female","United States","NY","No","No","Yes","Sometimes","500-1000","Yes","Yes","Yes","Yes","Yes","Yes","Don't know","Very easy","No","No","Some of them","Some of them","No","No","Don't know","No",NA
2014-08-27 16:47:48,25,"f","United States","WA","No","No","No","Sometimes","6-25","No","Yes","No","No","No","No","No","Somewhat easy","Maybe","No","Some of them","No","No","No","Yes","No",NA
2014-08-27 16:53:54,29,"M","United States","CA","No","No","No",NA,"More than 1000","No","Yes","Don't know","Not sure","No","Don't know","Don't know","Don't know","Maybe","No","No","No","No","Maybe","Don't know","No",NA
2014-08-27 16:55:04,39,"Male","United States","WA","No","No","No","Never","26-100","No","Yes","Yes","Yes","Yes","Yes","Yes","Very easy","No","No","Yes","Yes","No","No","Yes","No","I work for an extremely supportive company and we are amazingly open about mental health issues. Employees often share their struggles with the whole team and receive a high level of support in return."
2014-08-27 17:00:15,38,"male","United States","VA","No","Yes","Yes","Sometimes","More than 1000","No","Yes","Yes","Not sure","Yes","Yes","Yes","Don't know","Yes","No","No","No","No","No","No","No",NA
2014-08-27 17:03:02,43,"Male","United States","NC","No","No","No",NA,"6-25","Yes","Yes","Don't know","No","No","Don't know","Don't know","Don't know","Maybe","No","Some of them","No","No","No","Don't know","No",NA
2014-08-27 17:04:29,46,"Male","United States","OH","No","No","Yes","Rarely","500-1000","Yes","Yes","Yes","Not sure","Yes","Yes","Yes","Don't know","No","No","Some of them","Yes","No","Maybe","Yes","No",NA
2014-08-27 17:08:18,38,"Female","United States","PA","No","Yes","Yes","Sometimes","More than 1000","No","No","Yes","Yes","Yes","Yes","Yes","Very easy","Maybe","No","Yes","Yes","No","No","No","Yes",NA
2014-08-27 17:09:23,33,"Male","Germany",NA,"No","No","Yes","Sometimes","6-25","No","Yes","Yes","Yes","No","No","Yes","Very easy","Yes","Yes","Some of them","Some of them","No","Maybe","No","No",NA
2014-08-27 17:10:56,34,"Male","United Kingdom",NA,"No","Yes","Yes","Often","26-100","No","Yes","No","Yes","No","No","Yes","Very easy","Maybe","Maybe","Yes","Yes","No","No","No","No",NA
2014-08-27 17:12:01,62,"M","United States","CA","No","No","No","Never","More than 1000","No","Yes","Yes","Yes","Don't know","Yes","Don't know","Don't know","Maybe","No","Some of them","Yes","Maybe","Maybe","Yes","No",NA
2014-08-27 17:14:36,23,"F","United States","TX","No","No","No",NA,"More than 1000","No","No","Don't know","Not sure","Don't know","Don't know","Yes","Don't know","Maybe","Maybe","Some of them","Some of them","No","No","Don't know","No",NA
2014-08-27 17:15:25,35,"Male","United States","AZ","No","No","No",NA,"More than 1000","No","No","No","No","No","No","Don't know","Don't know","Maybe","Maybe","No","No","No","No","No","No",NA
2014-08-27 17:19:05,25,"Male","Bosnia and Herzegovina",NA,"No","Yes","No","Rarely","26-100","Yes","Yes","Don't know","Not sure","Don't know","Don't know","Don't know","Don't know","Maybe","Yes","No","No","No","No","Don't know","Yes",NA
2014-08-27 17:22:29,36,"M","United States","IL","Yes","Yes","Yes","Sometimes","1-5","Yes","Yes","Don't know","Yes","Don't know","No","Yes","Somewhat difficult","Maybe","No","Some of them","Yes","No","Yes","Yes","No",NA
2014-08-27 17:32:04,41,"Female","United States",NA,"No","Yes","Yes","Rarely","500-1000","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Very easy","Maybe","Maybe","Some of them","Some of them","No","No","Yes","No",NA
2014-08-27 17:33:51,24,"male","Austria",NA,"Yes","No","No","Sometimes","1-5","No","Yes","Yes","Yes","Don't know","Don't know","Yes","Somewhat easy","No","No","Some of them","Some of them","Maybe","Maybe","Yes","No",NA
2014-08-27 17:33:52,51,"Male","New Zealand",NA,"No","No","Yes","Sometimes","26-100","Yes","Yes","No","Yes","Yes","No","No","Somewhat difficult","Yes","Yes","No","No","No","No","Don't know","Yes",NA
